city,year,weekofyear,total_cases
sj,2008,18,-8
sj,2008,19,-8
sj,2008,20,-7
sj,2008,21,-7
sj,2008,22,-6
sj,2008,23,-5
sj,2008,24,-3
sj,2008,25,-1
sj,2008,26,0
sj,2008,27,2
sj,2008,28,3
sj,2008,29,6
sj,2008,30,11
sj,2008,31,18
sj,2008,32,25
sj,2008,33,29
sj,2008,34,30
sj,2008,35,32
sj,2008,36,33
sj,2008,37,36
sj,2008,38,40
sj,2008,39,44
sj,2008,40,48
sj,2008,41,51
sj,2008,42,52
sj,2008,43,49
sj,2008,44,46
sj,2008,45,44
sj,2008,46,44
sj,2008,47,43
sj,2008,48,41
sj,2008,49,34
sj,2008,50,25
sj,2008,51,18
sj,2008,52,15
sj,2009,1,14
sj,2009,2,14
sj,2009,3,13
sj,2009,4,11
sj,2009,5,7
sj,2009,6,4
sj,2009,7,2
sj,2009,8,1
sj,2009,9,0
sj,2009,10,-1
sj,2009,11,-3
sj,2009,12,-5
sj,2009,13,-7
sj,2009,14,-7
sj,2009,15,-8
sj,2009,16,-8
sj,2009,17,-9
sj,2009,18,-10
sj,2009,19,-10
sj,2009,20,-9
sj,2009,21,-8
sj,2009,22,-8
sj,2009,23,-7
sj,2009,24,-5
sj,2009,25,-3
sj,2009,26,0
sj,2009,27,0
sj,2009,28,1
sj,2009,29,4
sj,2009,30,10
sj,2009,31,17
sj,2009,32,23
sj,2009,33,27
sj,2009,34,28
sj,2009,35,30
sj,2009,36,32
sj,2009,37,35
sj,2009,38,38
sj,2009,39,43
sj,2009,40,47
sj,2009,41,49
sj,2009,42,50
sj,2009,43,47
sj,2009,44,44
sj,2009,45,42
sj,2009,46,42
sj,2009,47,41
sj,2009,48,38
sj,2009,49,31
sj,2009,50,23
sj,2009,51,16
sj,2009,52,12
sj,2010,53,12
sj,2010,1,12
sj,2010,2,11
sj,2010,3,9
sj,2010,4,5
sj,2010,5,3
sj,2010,6,0
sj,2010,7,0
sj,2010,8,-1
sj,2010,9,-3
sj,2010,10,-5
sj,2010,11,-7
sj,2010,12,-9
sj,2010,13,-9
sj,2010,14,-10
sj,2010,15,-10
sj,2010,16,-11
sj,2010,17,-12
sj,2010,18,-12
sj,2010,19,-11
sj,2010,20,-11
sj,2010,21,-10
sj,2010,22,-9
sj,2010,23,-7
sj,2010,24,-5
sj,2010,25,-3
sj,2010,26,-1
sj,2010,27,0
sj,2010,28,2
sj,2010,29,8
sj,2010,30,15
sj,2010,31,21
sj,2010,32,25
sj,2010,33,26
sj,2010,34,28
sj,2010,35,29
sj,2010,36,32
sj,2010,37,36
sj,2010,38,40
sj,2010,39,45
sj,2010,40,47
sj,2010,41,48
sj,2010,42,45
sj,2010,43,42
sj,2010,44,40
sj,2010,45,40
sj,2010,46,39
sj,2010,47,36
sj,2010,48,29
sj,2010,49,21
sj,2010,50,14
sj,2010,51,10
sj,2011,52,10
sj,2011,1,10
sj,2011,2,9
sj,2011,3,7
sj,2011,4,4
sj,2011,5,1
sj,2011,6,-1
sj,2011,7,-2
sj,2011,8,-3
sj,2011,9,-5
sj,2011,10,-7
sj,2011,11,-9
sj,2011,12,-11
sj,2011,13,-11
sj,2011,14,-12
sj,2011,15,-12
sj,2011,16,-13
sj,2011,17,-14
sj,2011,18,-14
sj,2011,19,-13
sj,2011,20,-13
sj,2011,21,-12
sj,2011,22,-11
sj,2011,23,-9
sj,2011,24,-7
sj,2011,25,-5
sj,2011,26,-3
sj,2011,27,-2
sj,2011,28,0
sj,2011,29,6
sj,2011,30,13
sj,2011,31,19
sj,2011,32,23
sj,2011,33,24
sj,2011,34,26
sj,2011,35,27
sj,2011,36,30
sj,2011,37,34
sj,2011,38,38
sj,2011,39,42
sj,2011,40,45
sj,2011,41,46
sj,2011,42,43
sj,2011,43,40
sj,2011,44,38
sj,2011,45,38
sj,2011,46,37
sj,2011,47,34
sj,2011,48,28
sj,2011,49,19
sj,2011,50,12
sj,2011,51,9
sj,2012,52,8
sj,2012,1,8
sj,2012,2,7
sj,2012,3,5
sj,2012,4,2
sj,2012,5,0
sj,2012,6,-3
sj,2012,7,-4
sj,2012,8,-5
sj,2012,9,-7
sj,2012,10,-9
sj,2012,11,-11
sj,2012,12,-13
sj,2012,13,-13
sj,2012,14,-14
sj,2012,15,-14
sj,2012,16,-15
sj,2012,17,-16
sj,2012,18,-16
sj,2012,19,-15
sj,2012,20,-15
sj,2012,21,-14
sj,2012,22,-13
sj,2012,23,-11
sj,2012,24,-9
sj,2012,25,-7
sj,2012,26,-5
sj,2012,27,-4
sj,2012,28,-1
sj,2012,29,3
sj,2012,30,10
sj,2012,31,17
sj,2012,32,20
sj,2012,33,22
sj,2012,34,23
sj,2012,35,25
sj,2012,36,28
sj,2012,37,32
sj,2012,38,36
sj,2012,39,40
sj,2012,40,43
sj,2012,41,44
sj,2012,42,41
sj,2012,43,38
sj,2012,44,36
sj,2012,45,36
sj,2012,46,35
sj,2012,47,33
sj,2012,48,26
sj,2012,49,17
sj,2012,50,10
sj,2012,51,7
sj,2013,1,6
sj,2013,2,6
sj,2013,3,5
sj,2013,4,3
sj,2013,5,0
