city,year,weekofyear,total_cases
sj,2008,18,4
sj,2008,19,4
sj,2008,20,5
sj,2008,21,6
sj,2008,22,7
sj,2008,23,8
sj,2008,24,10
sj,2008,25,12
sj,2008,26,14
sj,2008,27,16
sj,2008,28,17
sj,2008,29,20
sj,2008,30,26
sj,2008,31,33
sj,2008,32,39
sj,2008,33,43
sj,2008,34,45
sj,2008,35,46
sj,2008,36,48
sj,2008,37,51
sj,2008,38,54
sj,2008,39,59
sj,2008,40,63
sj,2008,41,66
sj,2008,42,66
sj,2008,43,64
sj,2008,44,61
sj,2008,45,59
sj,2008,46,58
sj,2008,47,58
sj,2008,48,56
sj,2008,49,49
sj,2008,50,41
sj,2008,51,33
sj,2008,52,30
sj,2009,1,29
sj,2009,2,30
sj,2009,3,29
sj,2009,4,26
sj,2009,5,23
sj,2009,6,20
sj,2009,7,18
sj,2009,8,17
sj,2009,9,15
sj,2009,10,14
sj,2009,11,12
sj,2009,12,10
sj,2009,13,8
sj,2009,14,8
sj,2009,15,7
sj,2009,16,7
sj,2009,17,7
sj,2009,18,7
sj,2009,19,7
sj,2009,20,8
sj,2009,21,9
sj,2009,22,10
sj,2009,23,11
sj,2009,24,13
sj,2009,25,15
sj,2009,26,17
sj,2009,27,19
sj,2009,28,20
sj,2009,29,23
sj,2009,30,29
sj,2009,31,36
sj,2009,32,42
sj,2009,33,46
sj,2009,34,48
sj,2009,35,49
sj,2009,36,51
sj,2009,37,54
sj,2009,38,58
sj,2009,39,62
sj,2009,40,66
sj,2009,41,69
sj,2009,42,69
sj,2009,43,67
sj,2009,44,63
sj,2009,45,61
sj,2009,46,61
sj,2009,47,61
sj,2009,48,58
sj,2009,49,51
sj,2009,50,43
sj,2009,51,36
sj,2009,52,32
sj,2010,53,32
sj,2010,1,33
sj,2010,2,32
sj,2010,3,29
sj,2010,4,26
sj,2010,5,23
sj,2010,6,21
sj,2010,7,20
sj,2010,8,18
sj,2010,9,17
sj,2010,10,15
sj,2010,11,13
sj,2010,12,11
sj,2010,13,10
sj,2010,14,10
sj,2010,15,10
sj,2010,16,10
sj,2010,17,10
sj,2010,18,10
sj,2010,19,11
sj,2010,20,12
sj,2010,21,13
sj,2010,22,14
sj,2010,23,16
sj,2010,24,18
sj,2010,25,20
sj,2010,26,21
sj,2010,27,23
sj,2010,28,26
sj,2010,29,32
sj,2010,30,39
sj,2010,31,45
sj,2010,32,49
sj,2010,33,51
sj,2010,34,52
sj,2010,35,54
sj,2010,36,57
sj,2010,37,61
sj,2010,38,65
sj,2010,39,69
sj,2010,40,72
sj,2010,41,72
sj,2010,42,70
sj,2010,43,66
sj,2010,44,64
sj,2010,45,64
sj,2010,46,64
sj,2010,47,61
sj,2010,48,54
sj,2010,49,46
sj,2010,50,39
sj,2010,51,35
sj,2011,52,35
sj,2011,1,35
sj,2011,2,35
sj,2011,3,32
sj,2011,4,29
sj,2011,5,26
sj,2011,6,24
sj,2011,7,23
sj,2011,8,21
sj,2011,9,20
sj,2011,10,18
sj,2011,11,16
sj,2011,12,14
sj,2011,13,13
sj,2011,14,13
sj,2011,15,13
sj,2011,16,12
sj,2011,17,13
sj,2011,18,13
sj,2011,19,14
sj,2011,20,15
sj,2011,21,15
sj,2011,22,16
sj,2011,23,18
sj,2011,24,21
sj,2011,25,23
sj,2011,26,24
sj,2011,27,26
sj,2011,28,29
sj,2011,29,35
sj,2011,30,42
sj,2011,31,48
sj,2011,32,52
sj,2011,33,54
sj,2011,34,55
sj,2011,35,57
sj,2011,36,60
sj,2011,37,63
sj,2011,38,68
sj,2011,39,72
sj,2011,40,75
sj,2011,41,75
sj,2011,42,73
sj,2011,43,69
sj,2011,44,67
sj,2011,45,67
sj,2011,46,67
sj,2011,47,64
sj,2011,48,57
sj,2011,49,49
sj,2011,50,42
sj,2011,51,38
sj,2012,52,38
sj,2012,1,38
sj,2012,2,38
sj,2012,3,35
sj,2012,4,32
sj,2012,5,29
sj,2012,6,27
sj,2012,7,25
sj,2012,8,24
sj,2012,9,23
sj,2012,10,21
sj,2012,11,19
sj,2012,12,17
sj,2012,13,16
sj,2012,14,16
sj,2012,15,16
sj,2012,16,15
sj,2012,17,15
sj,2012,18,16
sj,2012,19,17
sj,2012,20,18
sj,2012,21,18
sj,2012,22,19
sj,2012,23,21
sj,2012,24,24
sj,2012,25,26
sj,2012,26,27
sj,2012,27,29
sj,2012,28,32
sj,2012,29,37
sj,2012,30,44
sj,2012,31,51
sj,2012,32,54
sj,2012,33,56
sj,2012,34,58
sj,2012,35,59
sj,2012,36,62
sj,2012,37,66
sj,2012,38,70
sj,2012,39,75
sj,2012,40,78
sj,2012,41,78
sj,2012,42,76
sj,2012,43,72
sj,2012,44,70
sj,2012,45,70
sj,2012,46,70
sj,2012,47,67
sj,2012,48,61
sj,2012,49,52
sj,2012,50,45
sj,2012,51,41
sj,2013,1,41
sj,2013,2,41
sj,2013,3,40
sj,2013,4,38
sj,2013,5,34
sj,2013,6,32
sj,2013,7,30
sj,2013,8,28
sj,2013,9,27
sj,2013,10,25
sj,2013,11,23
sj,2013,12,21
sj,2013,13,20
sj,2013,14,19
sj,2013,15,19
sj,2013,16,19
sj,2013,17,18
iq,2010,26,2
iq,2010,27,2
iq,2010,28,3
iq,2010,29,2
iq,2010,30,2
iq,2010,31,2
iq,2010,32,3
iq,2010,33,3
iq,2010,34,3
iq,2010,35,3
iq,2010,36,4
iq,2010,37,5
iq,2010,38,6
iq,2010,39,7
iq,2010,40,8
iq,2010,41,10
iq,2010,42,11
iq,2010,43,11
iq,2010,44,9
iq,2010,45,7
iq,2010,46,8
iq,2010,47,12
iq,2010,48,15
iq,2010,49,14
iq,2010,50,10
iq,2010,51,5
iq,2011,52,4
iq,2011,1,8
iq,2011,2,12
iq,2011,3,13
iq,2011,4,12
iq,2011,5,11
iq,2011,6,11
iq,2011,7,11
iq,2011,8,9
iq,2011,9,7
iq,2011,10,5
iq,2011,11,4
iq,2011,12,4
iq,2011,13,5
iq,2011,14,4
iq,2011,15,3
iq,2011,16,3
iq,2011,17,3
iq,2011,18,3
iq,2011,19,2
iq,2011,20,2
iq,2011,21,1
iq,2011,22,1
iq,2011,23,1
iq,2011,24,1
iq,2011,25,0
iq,2011,26,0
iq,2011,27,1
iq,2011,28,1
iq,2011,29,1
iq,2011,30,1
iq,2011,31,1
iq,2011,32,1
iq,2011,33,1
iq,2011,34,1
iq,2011,35,1
iq,2011,36,2
iq,2011,37,4
iq,2011,38,5
iq,2011,39,6
iq,2011,40,6
iq,2011,41,8
iq,2011,42,9
iq,2011,43,9
iq,2011,44,7
iq,2011,45,6
iq,2011,46,6
iq,2011,47,10
iq,2011,48,13
iq,2011,49,13
iq,2011,50,8
iq,2011,51,4
iq,2012,52,3
iq,2012,1,6
iq,2012,2,10
iq,2012,3,12
iq,2012,4,11
iq,2012,5,9
iq,2012,6,9
iq,2012,7,9
iq,2012,8,8
iq,2012,9,6
iq,2012,10,3
iq,2012,11,3
iq,2012,12,3
iq,2012,13,3
iq,2012,14,3
iq,2012,15,2
iq,2012,16,1
iq,2012,17,1
iq,2012,18,1
iq,2012,19,1
iq,2012,20,0
iq,2012,21,0
iq,2012,22,0
iq,2012,23,0
iq,2012,24,0
iq,2012,25,0
iq,2012,26,0
iq,2012,27,0
iq,2012,28,0
iq,2012,29,0
iq,2012,30,0
iq,2012,31,0
iq,2012,32,0
iq,2012,33,0
iq,2012,34,0
iq,2012,35,0
iq,2012,36,1
iq,2012,37,2
iq,2012,38,3
iq,2012,39,4
iq,2012,40,5
iq,2012,41,6
iq,2012,42,8
iq,2012,43,8
iq,2012,44,6
iq,2012,45,4
iq,2012,46,5
iq,2012,47,8
iq,2012,48,12
iq,2012,49,11
iq,2012,50,7
iq,2012,51,2
iq,2013,1,2
iq,2013,2,5
iq,2013,3,9
iq,2013,4,10
iq,2013,5,9
iq,2013,6,8
iq,2013,7,8
iq,2013,8,8
iq,2013,9,6
iq,2013,10,4
iq,2013,11,2
iq,2013,12,1
iq,2013,13,1
iq,2013,14,2
iq,2013,15,1
iq,2013,16,0
iq,2013,17,0
iq,2013,18,0
iq,2013,19,0
iq,2013,20,0
iq,2013,21,0
iq,2013,22,-1
iq,2013,23,-1
iq,2013,24,-1
iq,2013,25,-1
iq,2013,26,-2
