city,year,weekofyear,total_cases
sj,2008,18,22
sj,2008,19,25
sj,2008,20,21
sj,2008,21,21
sj,2008,22,36
sj,2008,23,45
sj,2008,24,41
sj,2008,25,33
sj,2008,26,49
sj,2008,27,40
sj,2008,28,41
sj,2008,29,32
sj,2008,30,33
sj,2008,31,46
sj,2008,32,40
sj,2008,33,39
sj,2008,34,41
sj,2008,35,38
sj,2008,36,42
sj,2008,37,45
sj,2008,38,42
sj,2008,39,44
sj,2008,40,42
sj,2008,41,33
sj,2008,42,39
sj,2008,43,42
sj,2008,44,41
sj,2008,45,51
sj,2008,46,30
sj,2008,47,39
sj,2008,48,45
sj,2008,49,22
sj,2008,50,22
sj,2008,51,28
sj,2008,52,16
sj,2009,1,12
sj,2009,2,14
sj,2009,3,26
sj,2009,4,24
sj,2009,5,24
sj,2009,6,20
sj,2009,7,20
sj,2009,8,20
sj,2009,9,17
sj,2009,10,21
sj,2009,11,17
sj,2009,12,19
sj,2009,13,19
sj,2009,14,14
sj,2009,15,19
sj,2009,16,18
sj,2009,17,19
sj,2009,18,23
sj,2009,19,20
sj,2009,20,32
sj,2009,21,26
sj,2009,22,29
sj,2009,23,32
sj,2009,24,38
sj,2009,25,48
sj,2009,26,40
sj,2009,27,37
sj,2009,28,45
sj,2009,29,41
sj,2009,30,47
sj,2009,31,46
sj,2009,32,42
sj,2009,33,50
sj,2009,34,42
sj,2009,35,37
sj,2009,36,42
sj,2009,37,52
sj,2009,38,43
sj,2009,39,46
sj,2009,40,37
sj,2009,41,39
sj,2009,42,39
sj,2009,43,43
sj,2009,44,32
sj,2009,45,37
sj,2009,46,34
sj,2009,47,49
sj,2009,48,38
sj,2009,49,29
sj,2009,50,37
sj,2009,51,30
sj,2009,52,33
sj,2010,53,12
sj,2010,1,21
sj,2010,2,22
sj,2010,3,22
sj,2010,4,23
sj,2010,5,21
sj,2010,6,18
sj,2010,7,19
sj,2010,8,22
sj,2010,9,34
sj,2010,10,10
sj,2010,11,19
sj,2010,12,22
sj,2010,13,36
sj,2010,14,19
sj,2010,15,20
sj,2010,16,34
sj,2010,17,51
sj,2010,18,41
sj,2010,19,43
sj,2010,20,44
sj,2010,21,33
sj,2010,22,52
sj,2010,23,44
sj,2010,24,44
sj,2010,25,47
sj,2010,26,47
sj,2010,27,45
sj,2010,28,36
sj,2010,29,56
sj,2010,30,46
sj,2010,31,42
sj,2010,32,44
sj,2010,33,53
sj,2010,34,50
sj,2010,35,42
sj,2010,36,43
sj,2010,37,49
sj,2010,38,40
sj,2010,39,43
sj,2010,40,47
sj,2010,41,44
sj,2010,42,32
sj,2010,43,39
sj,2010,44,54
sj,2010,45,52
sj,2010,46,27
sj,2010,47,25
sj,2010,48,22
sj,2010,49,14
sj,2010,50,22
sj,2010,51,21
sj,2011,52,23
sj,2011,1,20
sj,2011,2,21
sj,2011,3,24
sj,2011,4,23
sj,2011,5,21
sj,2011,6,20
sj,2011,7,20
sj,2011,8,21
sj,2011,9,19
sj,2011,10,19
sj,2011,11,16
sj,2011,12,17
sj,2011,13,20
sj,2011,14,25
sj,2011,15,23
sj,2011,16,19
sj,2011,17,22
sj,2011,18,30
sj,2011,19,22
sj,2011,20,17
sj,2011,21,32
sj,2011,22,48
sj,2011,23,53
sj,2011,24,47
sj,2011,25,41
sj,2011,26,42
sj,2011,27,51
sj,2011,28,35
sj,2011,29,39
sj,2011,30,48
sj,2011,31,49
sj,2011,32,34
sj,2011,33,45
