city,year,weekofyear,total_cases
sj,2008,18,9
sj,2008,19,10
sj,2008,20,11
sj,2008,21,12
sj,2008,22,13
sj,2008,23,14
sj,2008,24,16
sj,2008,25,19
sj,2008,26,21
sj,2008,27,22
sj,2008,28,23
sj,2008,29,26
sj,2008,30,31
sj,2008,31,37
sj,2008,32,42
sj,2008,33,46
sj,2008,34,47
sj,2008,35,48
sj,2008,36,50
sj,2008,37,52
sj,2008,38,56
sj,2008,39,59
sj,2008,40,63
sj,2008,41,66
sj,2008,42,66
sj,2008,43,63
sj,2008,44,60
sj,2008,45,58
sj,2008,46,57
sj,2008,47,57
sj,2008,48,54
sj,2008,49,48
sj,2008,50,40
sj,2008,51,33
sj,2008,52,30
sj,2009,1,30
sj,2009,2,30
sj,2009,3,30
sj,2009,4,27
sj,2009,5,25
sj,2009,6,22
sj,2009,7,21
sj,2009,8,20
sj,2009,9,19
sj,2009,10,17
sj,2009,11,16
sj,2009,12,14
sj,2009,13,13
sj,2009,14,12
sj,2009,15,12
sj,2009,16,12
sj,2009,17,12
sj,2009,18,13
sj,2009,19,14
sj,2009,20,15
sj,2009,21,16
sj,2009,22,17
sj,2009,23,18
sj,2009,24,20
sj,2009,25,22
sj,2009,26,24
sj,2009,27,26
sj,2009,28,27
sj,2009,29,30
sj,2009,30,35
sj,2009,31,41
sj,2009,32,47
sj,2009,33,50
sj,2009,34,51
sj,2009,35,52
sj,2009,36,54
sj,2009,37,56
sj,2009,38,60
sj,2009,39,63
sj,2009,40,67
sj,2009,41,69
sj,2009,42,69
sj,2009,43,67
sj,2009,44,63
sj,2009,45,61
sj,2009,46,61
sj,2009,47,60
sj,2009,48,57
sj,2009,49,50
sj,2009,50,43
sj,2009,51,37
sj,2009,52,34
sj,2010,53,34
sj,2010,1,34
sj,2010,2,33
sj,2010,3,31
sj,2010,4,29
sj,2010,5,26
sj,2010,6,24
sj,2010,7,23
sj,2010,8,23
sj,2010,9,21
sj,2010,10,20
sj,2010,11,18
sj,2010,12,17
sj,2010,13,16
sj,2010,14,16
sj,2010,15,16
sj,2010,16,16
sj,2010,17,17
sj,2010,18,18
sj,2010,19,19
sj,2010,20,20
sj,2010,21,20
sj,2010,22,21
sj,2010,23,24
sj,2010,24,26
sj,2010,25,28
sj,2010,26,29
sj,2010,27,31
sj,2010,28,33
sj,2010,29,39
sj,2010,30,45
sj,2010,31,50
sj,2010,32,53
sj,2010,33,55
sj,2010,34,56
sj,2010,35,57
sj,2010,36,60
sj,2010,37,63
sj,2010,38,67
sj,2010,39,71
sj,2010,40,73
sj,2010,41,73
