city,year,weekofyear,total_cases
sj,2008,18,3
sj,2008,19,4
sj,2008,20,5
sj,2008,21,5
sj,2008,22,6
sj,2008,23,7
sj,2008,24,9
sj,2008,25,12
sj,2008,26,14
sj,2008,27,15
sj,2008,28,16
sj,2008,29,19
sj,2008,30,25
sj,2008,31,32
sj,2008,32,38
sj,2008,33,42
sj,2008,34,44
sj,2008,35,46
sj,2008,36,47
sj,2008,37,50
sj,2008,38,54
sj,2008,39,58
sj,2008,40,63
sj,2008,41,66
sj,2008,42,66
sj,2008,43,63
sj,2008,44,60
sj,2008,45,58
sj,2008,46,58
sj,2008,47,58
sj,2008,48,55
sj,2008,49,48
sj,2008,50,40
sj,2008,51,32
sj,2008,52,29
sj,2009,1,28
sj,2009,2,29
sj,2009,3,28
sj,2009,4,25
sj,2009,5,22
sj,2009,6,19
sj,2009,7,17
sj,2009,8,16
sj,2009,9,15
sj,2009,10,13
sj,2009,11,11
sj,2009,12,9
sj,2009,13,7
sj,2009,14,7
sj,2009,15,6
sj,2009,16,6
sj,2009,17,6
sj,2009,18,6
sj,2009,19,6
sj,2009,20,7
sj,2009,21,8
sj,2009,22,9
sj,2009,23,10
sj,2009,24,12
sj,2009,25,14
sj,2009,26,16
sj,2009,27,18
sj,2009,28,19
sj,2009,29,22
sj,2009,30,28
sj,2009,31,35
sj,2009,32,41
sj,2009,33,45
sj,2009,34,47
sj,2009,35,48
sj,2009,36,50
sj,2009,37,53
sj,2009,38,57
sj,2009,39,61
sj,2009,40,65
sj,2009,41,68
sj,2009,42,68
sj,2009,43,66
sj,2009,44,62
sj,2009,45,60
sj,2009,46,60
sj,2009,47,60
sj,2009,48,57
sj,2009,49,50
sj,2009,50,41
sj,2009,51,34
sj,2009,52,31
sj,2010,53,31
sj,2010,1,31
sj,2010,2,30
sj,2010,3,28
sj,2010,4,25
sj,2010,5,22
sj,2010,6,20
sj,2010,7,18
sj,2010,8,17
sj,2010,9,16
sj,2010,10,14
sj,2010,11,11
sj,2010,12,10
sj,2010,13,9
sj,2010,14,9
sj,2010,15,9
sj,2010,16,8
sj,2010,17,8
sj,2010,18,9
sj,2010,19,10
sj,2010,20,10
sj,2010,21,11
sj,2010,22,12
sj,2010,23,14
sj,2010,24,17
sj,2010,25,19
sj,2010,26,20
sj,2010,27,21
sj,2010,28,25
sj,2010,29,31
sj,2010,30,38
sj,2010,31,44
sj,2010,32,48
sj,2010,33,49
sj,2010,34,51
sj,2010,35,53
sj,2010,36,55
sj,2010,37,59
sj,2010,38,64
sj,2010,39,68
sj,2010,40,71
sj,2010,41,71
sj,2010,42,68
sj,2010,43,65
sj,2010,44,63
sj,2010,45,63
sj,2010,46,62
sj,2010,47,59
sj,2010,48,53
sj,2010,49,44
sj,2010,50,37
sj,2010,51,34
sj,2011,52,33
sj,2011,1,34
sj,2011,2,33
sj,2011,3,30
sj,2011,4,27
sj,2011,5,24
sj,2011,6,22
sj,2011,7,21
sj,2011,8,20
sj,2011,9,18
sj,2011,10,16
sj,2011,11,14
sj,2011,12,12
sj,2011,13,12
sj,2011,14,11
sj,2011,15,11
sj,2011,16,11
sj,2011,17,11
sj,2011,18,11
sj,2011,19,12
sj,2011,20,13
sj,2011,21,13
sj,2011,22,15
sj,2011,23,17
sj,2011,24,19
sj,2011,25,21
sj,2011,26,22
sj,2011,27,24
sj,2011,28,27
sj,2011,29,33
sj,2011,30,40
sj,2011,31,46
sj,2011,32,50
sj,2011,33,52
sj,2011,34,53
sj,2011,35,55
sj,2011,36,58
sj,2011,37,62
sj,2011,38,66
sj,2011,39,70
sj,2011,40,73
sj,2011,41,73
sj,2011,42,71
sj,2011,43,67
sj,2011,44,65
sj,2011,45,65
sj,2011,46,65
sj,2011,47,62
sj,2011,48,55
sj,2011,49,47
sj,2011,50,40
sj,2011,51,36
sj,2012,52,36
sj,2012,1,36
sj,2012,2,35
sj,2012,3,33
sj,2012,4,30
sj,2012,5,27
sj,2012,6,25
sj,2012,7,23
sj,2012,8,22
sj,2012,9,21
sj,2012,10,19
sj,2012,11,17
sj,2012,12,15
sj,2012,13,14
sj,2012,14,14
sj,2012,15,14
sj,2012,16,13
sj,2012,17,13
sj,2012,18,14
sj,2012,19,14
sj,2012,20,15
sj,2012,21,16
sj,2012,22,17
sj,2012,23,19
sj,2012,24,21
sj,2012,25,24
sj,2012,26,25
sj,2012,27,26
sj,2012,28,29
sj,2012,29,35
sj,2012,30,42
sj,2012,31,48
sj,2012,32,52
sj,2012,33,54
sj,2012,34,56
sj,2012,35,57
sj,2012,36,60
sj,2012,37,64
sj,2012,38,68
sj,2012,39,72
sj,2012,40,75
sj,2012,41,76
sj,2012,42,73
sj,2012,43,70
sj,2012,44,68
sj,2012,45,68
sj,2012,46,67
sj,2012,47,65
sj,2012,48,58
sj,2012,49,50
sj,2012,50,42
sj,2012,51,39
sj,2013,1,38
sj,2013,2,39
sj,2013,3,38
sj,2013,4,35
sj,2013,5,32
sj,2013,6,29
sj,2013,7,27
sj,2013,8,26
sj,2013,9,25
sj,2013,10,23
sj,2013,11,21
sj,2013,12,19
sj,2013,13,17
sj,2013,14,17
sj,2013,15,16
sj,2013,16,16
sj,2013,17,16
iq,2010,26,1
iq,2010,27,2
iq,2010,28,2
iq,2010,29,1
iq,2010,30,1
iq,2010,31,1
iq,2010,32,2
iq,2010,33,2
iq,2010,34,2
iq,2010,35,2
iq,2010,36,3
iq,2010,37,4
iq,2010,38,5
iq,2010,39,6
iq,2010,40,7
iq,2010,41,8
iq,2010,42,10
iq,2010,43,9
iq,2010,44,7
iq,2010,45,6
