,changepoint_prior_scale,seasonality_prior_scale,rmse
0,0.001,0.01,12.222870137235356
1,0.001,0.1,12.122941508250051
2,0.001,0.5,12.380381410086853
3,0.001,1.0,12.288869044387447
4,0.001,10.0,12.354547804573496
5,0.01,0.01,12.04060937890817
6,0.01,0.1,11.765609298576933
7,0.01,0.5,11.847927394496812
8,0.01,1.0,11.801502202913442
9,0.01,10.0,11.8537824889202
10,0.05,0.01,12.663628863221692
11,0.05,0.1,12.612692907333116
12,0.05,0.5,12.551206517896984
13,0.05,1.0,12.575338793913529
14,0.05,10.0,12.574935164925689
15,0.1,0.01,13.431523651692876
16,0.1,0.1,13.358504997254354
17,0.1,0.5,13.269261872875973
18,0.1,1.0,13.311162604160609
19,0.1,10.0,13.333221295594026
20,0.5,0.01,13.624748185750494
21,0.5,0.1,13.375049727529822
22,0.5,0.5,13.423716966296242
23,0.5,1.0,13.3920663284451
24,0.5,10.0,13.38900728602541
