,changepoint_prior_scale,seasonality_prior_scale,rmse
0,0.001,0.01,59.47622257965887
1,0.001,0.1,60.56169048332915
2,0.001,0.5,61.60822418242747
3,0.001,1.0,61.893912991017096
4,0.001,10.0,61.594874040950764
5,0.01,0.01,55.10481231661017
6,0.01,0.1,56.478578176338424
7,0.01,0.5,56.65991764727756
8,0.01,1.0,56.50615095040309
9,0.01,10.0,56.85633313279869
10,0.05,0.01,55.64207151002077
11,0.05,0.1,57.94809945795753
12,0.05,0.5,58.2078595199248
13,0.05,1.0,57.8754335046321
14,0.05,10.0,58.38684963336741
15,0.1,0.01,58.886748310104124
16,0.1,0.1,60.281857879453575
17,0.1,0.5,60.58016239675151
18,0.1,1.0,60.77407805946611
19,0.1,10.0,60.762959930335285
20,0.5,0.01,59.11991374018413
21,0.5,0.1,55.74707285579285
22,0.5,0.5,55.5750517622328
23,0.5,1.0,55.41824258198085
24,0.5,10.0,55.1782423270144
